id_imovel,Tipo_de_Imovel,titulo_seo,descricao_imovel,Finalidade,Status da Obra,Tags,bairro,quartos,vagas,suites,metragem,Condomínio,valor,valor_numerico,Link do Imóvel,Foto Principal,Título Comercial,Status da Publicação,Link Redes sociais
JP-3150,Apartamento,Apartamento para Venda em Tambaú - João Pessoa,"Viver em Tambaú é estar no coração de uma das regiões mais valorizadas e desejadas da cidade. Este excelente apartamento com vista para o mar reúne espaço, elegância e uma infraestrutura completa para proporcionar qualidade de vida em alto nível.
Com 117 m² de área privativa, o imóvel oferece uma planta ampla e bem distribuída, composta por 3 quartos, sendo 2 suítes, além de 1 quarto de dependência com banheiro, garantindo versatilidade e funcionalidade para o dia a dia.
Os ambientes são confortáveis e bem iluminados, com destaque para a vista mar, que traz charme e valorização ao imóvel. Ideal para quem busca morar com sofisticação ou investir com segurança em uma localização estratégica.
O condomínio conta com área de lazer completa, proporcionando momentos de descanso e convivência para toda a família.
🏢 Condomínio: R$ 700,00
Uma oportunidade única para morar com conforto, espaço e vista privilegiada em Tambaú.
Agende sua visita e encante-se com este excelente apartamento com vista para o mar. 🌊",Venda,Em obras,Pré-lançamento,Tambaú,3,2,2,117.0,"$0,00","R$1650000,00",1650000,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-em-tambau-6/,4-2-e1770824804762.jpeg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/17kjvEyYSghbCSIfNg9DLQ/xzYFAWeleHdGpc32R4yZwCd9VjoG1Cccc3l1KPRc6pjT0eVe5KjQrxsK48IZL5gaJPNrERxKSEK4I6dzecEk5U85QH_VppeoT1xIvjMs5G85j-ghCx-peRh0y6_2G6HEBIxbp4ZoU_gBKdZMTmmRGQ/LHLVzaCgNdwK3B9AUy09sMUDye71XG8FYJGrwKgdi-w),APARTAMENTO PARA VENDA EM TAMBAÚ,Publicado,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-em-tambau-6/
JP-3143,Apartamento,Apartamento para Venda em Cabo Branco - João Pessoa,"Viver em Cabo Branco é sinônimo de qualidade de vida, valorização e exclusividade. Agora imagine morar a apenas 55 metros da praia, em uma localização privilegiada, uma rua após o tradicional Bar do Cuscuz, com tudo ao seu redor.
Este excelente apartamento possui 44 m² muito bem distribuídos, em posição sul, garantindo ambientes mais frescos e agradáveis. O grande diferencial é a vista definitiva, proporcionando um cenário encantador e permanente.
O imóvel conta com 2 quartos, 1 banheiro social, sala para dois ambientes, varanda aconchegante e cozinha funcional, oferecendo praticidade e conforto tanto para moradia quanto para investimento.
Dispõe ainda de vaga privativa de garagem, agregando comodidade e segurança.
Ideal para morar, veranear ou investir em uma das áreas mais valorizadas da cidade, com altíssimo potencial de rentabilidade.
Agende sua visita e descubra o privilégio de viver a poucos passos do mar em Cabo Branco. 🌊",Venda,Em obras,Lançamento,Cabo Branco,2,1,0,44.0,"$0,00","R$655000,00",655000,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-no-cabo-branco-2/,3-1-e1770823126372.jpeg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/2X9bpQUB0ELktt9vi0xzvQ/ipjkmX0CvdM7brVOzJWtq2CulysAT2x-QguL5ckZ-WTgwP_lGb6AKI5Z551K1WMWaZ5J0GV_OSt_ZzUamRfLTYadZzdBMgrT6u1GexLeSeAHU6mXFYcUhNs3_S43oJi1v9WcFk3Li7WzF8ClgQx-qw/rLhLwh-xoP7Oa2IhgqDZuT1BZTBrWT9Kog5we7RlGH0),APARTAMENTO PARA VENDA NO CABO BRANCO,Publicado,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-no-cabo-branco-2/
JP-3108,Apartamento,Apartamento para Venda em Tambaú - João Pessoa,"Viva o melhor de Tambaú a poucos passos do mar
Apresentamos este excelente apartamento à venda no coração de Tambaú, um dos bairros mais desejados da cidade, a apenas 150 metros da praia, ideal para quem busca conforto, sofisticação e qualidade de vida.
Com 142m² muito bem distribuídos, o imóvel passou por reforma completa e conta com projetados de alto padrão, oferecendo ambientes elegantes, funcionais e acolhedores. A posição nascente sul garante ventilação constante e iluminação natural, proporcionando mais bem-estar no dia a dia.
São 03 quartos, sendo 01 suíte, além de DCE completo, ideal para apoio ou uso versátil. O apartamento é semi mobiliado, já equipado com dois aparelhos de ar-condicionado, pronto para morar ou investir com tranquilidade.
O conforto se estende à área externa com duas vagas de garagem e depósito privativo, um diferencial raro e extremamente valorizado.
Tudo isso em uma localização estratégica, próximo aos principais serviços, restaurantes, comércio e à energia única de viver perto do mar.
✨ Um imóvel completo para quem deseja morar bem ou investir com segurança em Tambaú.
Agende sua visita e descubra o privilégio de chamar este endereço de lar.",Venda,Fase de acabamento,Lançamento,Tambaú,3,2,1,142.0,"$0,00","R$1000000,00",1000000,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-em-tambau-5/,20260203_145307-scaled.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/K_IEyX60CoWBVrmSyuoEag/og4qTHshf7r9AO-LvVg-ZTMSGF7tIhCjSWmdr2siLv4_fmxou0jYS_7psAhvcwEFSRvA_EvmhZeFVnvsDnNGN0Xd1-BjaB5qLNY-gJLdigTVkIacB15s63mgmmvuvVsBokTIJs3Im3a93TDJuFjqwg/M3EMUjIve2fAMmRENznU3uL1eGt-IJZ5_hQ7p2qKIdA),APARTAMENTO PARA VENDA EM TAMBAÚ,Publicado,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-em-tambau-5/
JP-3090,Apartamento,Apartamento para Venda em Jardim Luna - João Pessoa,"Condomínio Moderno com Lazer e Conveniência Completa
Este edifício foi cuidadosamente projetado para oferecer um estilo de vida prático, confortável e conectado às necessidades da vida moderna, reunindo lazer, trabalho, bem-estar e conveniência em um só lugar.
A área de piscina proporciona momentos de relaxamento e convivência, enquanto a academia equipada atende quem valoriza saúde e qualidade de vida sem sair de casa. O coworking oferece um ambiente funcional e elegante para trabalhar ou estudar com conforto e produtividade.
Pensando em toda a família, o condomínio conta com área kids, garantindo diversão e segurança para as crianças, além de uma área pet, ideal para o bem-estar dos animais de estimação.
Como diferencial de praticidade, o prédio dispõe ainda de mini mercado interno, trazendo mais comodidade para o dia a dia e otimizando o seu tempo.
Um condomínio completo, que une funcionalidade, lazer e conveniência, elevando o conceito de morar bem.
Aqui, cada detalhe foi pensado para facilitar a sua rotina e valorizar o seu estilo de vida.",Venda,Pronto,Lançamento,Jardim Luna,3,2,2,140.0,"$0,00","R$950000,00",950000,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-no-jardim-luna/,17.jpeg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/JTwB-IjhbnKghcYJFlPiUw/FFSvUDtYMWn1wjeVqYq0ywzRqypFBpDfoDrrLwR7KQPIyYeIqaCq4GT7gzVpWNQMQJ6Pa9LvclvrsT9qn_8jcuUWqHm3DzJlZEZS7e7hnKuqZrTsJFZjb93Rg9g2IWpcjDskyN3aq29YPl_xD4zx_A/1I-tlKWdQcEIyMtPicgyxj2HN560RAXXkwb4t5A2u58),APARTAMENTO PARA VENDA NO JARDIM LUNA,Publicado,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-no-jardim-luna/
JP-3066,Apartamento,Apartamento para Venda em Jardim Oceania - João Pessoa,"Jardim Oceania (Argemiro de Figueiredo)
🏢 Apto todo projetado | 87m²
✨ Piso em porcelanato + projeto de iluminação
🛋️ Sala para 2 ambientes com varanda integrada e cortina de vidro retrátil
🛏️ 2 quartos (sendo 1 suíte com closet)
🚿 WC social
🍽️ Cozinha com área de serviço
🚗 2 vagas de garagem cobertas
🏊‍♂️ Prédio completo:
Elevador | Piscina | Área social | Salão de festas | Brinquedoteca | Bicicletário | Depósito individual | Portaria 24h | Câmeras | Gás encanado | Zelador
💰 Valor: R$ 750.000
🏢 Condomínio: R$ 860,00 (incluso água e gás)
🏷️ IPTU: R$ 546,00",Venda,Entregue,Lançamento,Jardim Oceania,2,2,1,87.0,"$0,00","R$750000,00",750000,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-no-jardim-oceania-2/,23-e1769632295397.jpeg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/uzIwOd1YdpGe8JIJdkP8Nw/iETxSUypvedgPFF4er3PC5OVfapHht-qWEaX4k1OllbglUsbvaVTZDN0Q1S8-TOXCeIXyIVVWhPkx9wpjZ9oSx84uVr56uZLvq6wzzsfuvs1sUVFGDSNxuKfnhjqwdwEN_seSTTsAolLiu6iMvdtoQ/0EqOoOKeO-iTLb4gEhlEGXDbLWu0W1Cv6pMZK56b7C8),APARTAMENTO PARA VENDA NO JARDIM OCEANIA,Publicado,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-no-jardim-oceania-2/
JP-3047,Apartamento,Apartamento para Venda em Aeroclube - João Pessoa,"Este charmoso apartamento no bairro do Aeroclube é a escolha ideal para quem busca praticidade, conforto e uma planta bem distribuída em uma região em constante valorização.
Com 66,30 m² de área privativa, o imóvel está localizado no segundo andar e conta com varanda, proporcionando um ambiente agradável para relaxar no dia a dia. A área social é bem integrada, garantindo conforto e boa circulação.
São 2 quartos, sendo 1 suíte, oferecendo privacidade e funcionalidade, além de um excelente aproveitamento dos espaços. O apartamento dispõe ainda de 2 vagas de garagem, um diferencial importante que agrega comodidade e segurança.
Ideal para quem deseja morar bem ou investir com segurança em um bairro estratégico, próximo a serviços, comércios e de fácil acesso às principais vias da cidade.
Este edifício foi cuidadosamente projetado para oferecer um estilo de vida prático, confortável e conectado às necessidades da vida moderna, reunindo lazer, trabalho, bem-estar e conveniência em um só lugar.
A área de piscina proporciona momentos de relaxamento e convivência, enquanto a academia equipada atende quem valoriza saúde e qualidade de vida sem sair de casa. O coworking oferece um ambiente funcional e elegante para trabalhar ou estudar com conforto e produtividade.
Pensando em toda a família, o condomínio conta com área kids, garantindo diversão e segurança para as crianças, além de uma área pet, ideal para o bem-estar dos animais de estimação.
Como diferencial de praticidade, o prédio dispõe ainda de mini mercado interno, trazendo mais comodidade para o dia a dia e otimizando o seu tempo.
Um condomínio completo, que une funcionalidade, lazer e conveniência, elevando o conceito de morar bem.
Agende sua visita e descubra o equilíbrio perfeito entre conforto e localização no Aeroclube.",Venda,Pronto,Habite-se,Aeroclube,2,2,1,67.0,"$0,00","R$649000,00",649000,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-no-aeroclube/,3-6-e1769631491114.jpeg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/8oaGJddw6dlAP9tGrQ8T1g/xqeWSvSSKftm_OoEff4YyrKF0zRrgGgLQl5EK5GxCrMoiEt6t2MgnXhqn_C88cTafrJJK0IT4yytsO5Y13YShtNzxpJR_TDLSfsnDf4PCstRNqqQcE0TXN4xafHNDvep5wFzOkM4zQwSHXTnpZI9Hw/_DmcNrLYZXl2Mm-mLEP7-nhxbqZzkLq-Elql2QLCWvA),APARTAMENTO PARA VENDA NO AEROCLUBE,Publicado,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-no-aeroclube/
JP-3033,Flat,Flat para Venda em Jardim Oceania - João Pessoa,"Modernidade, conforto e praticidade definem este empreendimento inovador que traz studios inteligentes, perfeitamente desenhados para quem busca qualidade de vida ou uma excelente oportunidade de investimento.
Localizado no ponto mais estratégico da praia do Bessa, em João Pessoa, o Storey Luxor Home Service une sofisticação à funcionalidade. Os studios são compactos na medida certa, com plantas inteligentes que otimizam cada metro quadrado, garantindo praticidade e bem-estar.
Na cobertura, o lazer sob medida surpreende: piscina com vista panorâmica, lounge relaxante e espaço gourmet que combinam perfeitamente com a vibe urbana do projeto. Pensado para a vida contemporânea, o empreendimento oferece:
Lavanderia compartilhada
Garagem privativa Infraestrutura para ar-condicionado
Central de gás
Elevador moderno
Além de ser uma excelente escolha para morar, o Storey Luxor Home Service é uma oportunidade única de investimento com retorno acima da média, especialmente pela sua localização estratégica próxima ao mar e por ser ideal para aluguel de temporada ou locações de longa duração. Seja para morar ou investir, o Storey Luxor é a combinação ideal entre estilo, praticidade e valorização imobiliária. -",Venda,Entregue,Habite-se,Jardim Oceania,0,1,1,22.0,"$0,00","R$289000,00",289000,https://juremabksimoveis.com.br/imoveis/flat-para-venda-no-jardim-oceania/,13-2-e1769630353276.jpeg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/_-0NaUyP9V4H_0WlQNL7Bg/m4VY3AIog7tMs61prXOQhKUHW__dFsAbh8A9BYyeP4Xxv31TNbC-RucEkO437vO8GqNrOkVf5wEObrrLi85Dv_4BLNccdBLvIKvEk3QL3tTuWmwGj26lWziKFh-AFfnLIXz6aDPgWJRZHJmEPs6TQw/t9bVUX3en6aNUsK3Tfw8hAfaGqVFAIWIib_kuArsIEU),FLAT PARA VENDA NO JARDIM OCEANIA,Publicado,https://juremabksimoveis.com.br/imoveis/flat-para-venda-no-jardim-oceania/
JP-3019,Apartamento,Apartamento para Venda em Manaíra - João Pessoa,"Apartamento Mobiliado à Venda em Manaíra – Vista Mar Definitiva, Conforto e Excelente Rentabilidade
Viva ou invista em um dos bairros mais desejados da cidade. Este elegante apartamento em Manaíra reúne localização estratégica, conforto e uma vista definitiva para o mar de tirar o fôlego.
Com 54 m² muito bem distribuídos, o imóvel é totalmente mobiliado e conta com 1 quarto com varanda fechada, banheiro amplo, sala integrada com varanda e vista permanente para o mar, além de cozinha americana, moderna e funcional. A posição nascente sul garante ambientes mais frescos, ventilados e agradáveis ao longo do dia.
O apartamento dispõe ainda de fechadura digital, 1 vaga de garagem coberta e está a apenas quatro quadras do mar, unindo praticidade e qualidade de vida.
O condomínio oferece portaria 24 horas e uma área de lazer completa, pensada para proporcionar bem-estar e momentos especiais:


Cobertura com salão de festas de vista panorâmica, piscina adulto e infantil, sauna, espaço gourmet e banheiros masculino e feminino


Mezanino com academia equipada, espaço kids, salão de festas e banheiros masculino e feminino


Ideal para morar com conforto ou rentabilizar por temporada, com excelente potencial de rendimento mensal, em uma das regiões mais valorizadas da cidade.
💰 Condomínio: R$ 400,00
Uma oportunidade única de unir estilo de vida, valorização e retorno financeiro.
Agende sua visita e encante-se com cada detalhe deste imóvel em Manaíra. 🌊",Venda,Pronto,Fase de acabamento,Manaíra,1,1,1,54.0,"$400,00","R$550000,00",550000,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-em-manaira-3/,1-4.jpeg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/iBS1e8MFgbhQOWG-XbyeIQ/4VLG0cxyg50IJ0m_Wx4NX263rgdtqSWulb9y7eXbJjS6dVxNFC0aMnixHQ4aGdo2PVKXpdrixiEoPtN-76C6ggl6K-vUDE7uEXhMScJpZjTtHfhYBGzrgohmSX7040-PUNbHOamnXPTVcXz_ma7rRA/32f1gdRRLOu38pZ0k22A78hgrLmyE7GuMwzJUl8r1wY),APARTAMENTO PARA VENDA EM MANAÍRA,Publicado,https://juremabksimoveis.com.br/imoveis/apartamento-para-venda-em-manaira-3/
JP-3006,Flat,Flat para Venda em Bessa - João Pessoa,"Flat Beira-Mar à Venda no Bessa – Vista Permanente, Estilo de Vida e Excelente Investimento
Uma oportunidade única à beira-mar do Bessa, para quem deseja viver ou investir em um dos endereços mais valorizados da cidade. Imagine acordar todos os dias com a vista do mar e o som das ondas como parte da sua rotina.
Este charmoso flat conta com 34 m² de área privativa, além de aproximadamente 10 m² de área externa exclusiva, proporcionando um diferencial raro: espaço ao ar livre com vista para o mar, perfeito para relaxar ou receber amigos.
O imóvel dispõe de sala integrada à cozinha, quarto com suíte reversível e uma planta funcional, ideal tanto para moradia quanto para locação por diária, atendendo perfeitamente ao público turístico e corporativo. O prédio possui cerca de 15 anos de construção, bem localizado e consolidado.
A localização beira-mar no Bessa é simplesmente privilegiada, com fácil acesso a restaurantes, serviços, comércios e tudo o que torna a região uma das mais desejadas da cidade.
✨ Ideal para morar, veranear ou investir com excelente potencial de rentabilidade.
💰 Valor do investimento: R$ 360.000,00🏢 Condomínio: R$ 580,00
Uma oportunidade rara de adquirir um imóvel frente mar, com versatilidade, valorização garantida e um estilo de vida único.
Agende sua visita e descubra o privilégio de viver de frente para o mar. 🌊",Venda,Na planta,Lançamento,Bessa,1,1,1,44.0,"$580,00","R$360000,00",360000,https://juremabksimoveis.com.br/imoveis/flat-para-venda-na-beira-mar-do-bessa/,10-2-e1769091471386.jpeg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/kMJ--FrQ9AqUP1OsZxbg1Q/YYRt4VHCjjdAOtndXoMcQlH6Cr9GYVK3ZEXRfEnIOmkF9aFDy_SoS0Q7gW4wYisDh9KWSpfn5htJQMkrp4LMX6YJ9UDLWulvVdKQbXYqg9eyGUODZBFkIAPTWPOtw5fRNWTE-vHe8hqjSqNmTJfgoA/sPa8wH_Jcqk2ppAgH9Z23y3ALrQlKUb0mUeq374PIXk),FLAT PARA VENDA NA BEIRA-MAR DO BESSA,Publicado,https://juremabksimoveis.com.br/imoveis/flat-para-venda-na-beira-mar-do-bessa/
JP-2927,Casa,Casa para Venda em Bessa - João Pessoa,"Casa à Venda no Bessa – Amplitude, Conforto e Lazer para Toda a Família
Localizada em uma das áreas mais valorizadas do bairro do Bessa, esta belíssima residência se destaca pela excelente distribuição dos ambientes, generosos espaços e uma estrutura pensada para oferecer conforto, funcionalidade e momentos inesquecíveis.
Com 298 m² de área construída, a casa apresenta, no térreo, uma planta extremamente bem resolvida, composta por 2 quartos e 1 suíte, sala ampla para três ambientes, perfeita para integrar estar, jantar e convivência, além de DCE completa, área de serviço independente e 2 banheiros sociais, garantindo praticidade ao dia a dia.
No primeiro andar, o imóvel dispõe de 3 quartos, sendo 2 suítes, uma aconchegante sala de estar, escritório, ideal para home office, área externa ampla e um elegante varandão, que valoriza a ventilação, a iluminação natural e o bem-estar.
A área de lazer é um verdadeiro convite ao convívio: piscina, espaço gourmet com churrasqueira, quintal na parte posterior da casa, perfeito para receber amigos e desfrutar momentos especiais, além de vaga para pelo menos 5 automóveis, oferecendo conforto e segurança.
Uma casa completa, ideal para quem busca espaço, lazer e qualidade de vida em um dos bairros mais desejados da cidade.
Agende sua visita e encante-se com cada detalhe desta excelente oportunidade no Bessa.",Venda,Em obras,Lançamento,Bessa,4,4,3,293.0,"$0,00","R$1100000,00",1100000,https://juremabksimoveis.com.br/imoveis/casa-para-venda-no-bessa/,32-1.jpg (https://v5.airtableusercontent.com/v3/u/51/51/1774296000000/-yD81oK6uuAVV3zY6-uLOg/NAr4LcGBcDXZZXV5jYhbFdKkLmHVcqgQ4sRvf7n62NodrwnHsRIttfy93mfktPiSoCfdV4VfdG2qcUm5Q32cNh85jH3xHcfIdhpIPXGqnbLet-qfJJ1uzX8w10fzxcKbCRlH3EQRW8AAzd3g1gUZ6g/r2ZuRBT2_3srShK6eqzuoXy-NbYQ9bJUrJw-b_O4Hy8),CASA PARA VENDA NO BESSA,Publicado,https://juremabksimoveis.com.br/imoveis/casa-para-venda-no-bessa/
